"","Province","Health Facility","Period","name","percent","num","den","np"
"228","Nampula","Namapa HR","2025Q4","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"229","Nampula","Namialo CS","2025Q1","Positivity < 2 month",0.0481927710843374,4,83,"4.8%
 (4/83)"
"230","Nampula","Namialo CS","2025Q1","Positivity 2 - 12 month",0.214285714285714,3,14,"21.4%
 (3/14)"
"231","Nampula","Namialo CS","2025Q1","Positivity 12 - 18 month",0,0,1,"0%
 (0/1)"
"232","Nampula","Namialo CS","2025Q2","Positivity < 2 month",0.0208333333333333,2,96,"2.1%
 (2/96)"
"233","Nampula","Namialo CS","2025Q2","Positivity 2 - 12 month",0.153846153846154,2,13,"15.4%
 (2/13)"
"234","Nampula","Namialo CS","2025Q2","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"235","Nampula","Namialo CS","2025Q3","Positivity < 2 month",0.0116279069767442,1,86,"1.2%
 (1/86)"
"236","Nampula","Namialo CS","2025Q3","Positivity 2 - 12 month",0.04,1,25,"4%
 (1/25)"
"237","Nampula","Namialo CS","2025Q3","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"238","Nampula","Namialo CS","2025Q4","Positivity < 2 month",0.010752688172043,1,93,"1.1%
 (1/93)"
"239","Nampula","Namialo CS","2025Q4","Positivity 2 - 12 month",0.2,4,20,"20%
 (4/20)"
"240","Nampula","Namialo CS","2025Q4","Positivity 12 - 18 month",0.5,2,4,"50%
 (2/4)"
"241","Nampula","Namicopo PS","2025Q1","Positivity < 2 month",0,0,59,"0%
 (0/59)"
"242","Nampula","Namicopo PS","2025Q1","Positivity 2 - 12 month",0.5,1,2,"50%
 (1/2)"
"243","Nampula","Namicopo PS","2025Q1","Positivity 12 - 18 month",0,0,0,"0%
 (0/0)"
"244","Nampula","Namicopo PS","2025Q4","Positivity < 2 month",0,0,2,"0%
 (0/2)"
"245","Nampula","Namicopo PS","2025Q4","Positivity 2 - 12 month",0,0,10,"0%
 (0/10)"
"246","Nampula","Namicopo PS","2025Q4","Positivity 12 - 18 month",0,0,2,"0%
 (0/2)"
