Province,Health Facility,Period,Pregnant women retention,Breatfeeding women retention,Children retention,Pregnant women VL test,Pregnant women VL result,Breastfeeding women VL test,Breastfeeding women VL result,Children VL test,Children VL result
Nampula,CS Mogovolas,2025Q4,0.825503355704698,0.932621199671323,0.867231638418079,0.9230769230769231,0.746031746031746,0.9710144927536232,0.7967479674796748,1,0.7435897435897436
Nampula,CS Monapo Rio,2025Q1,0.9795918367346939,1,0.9895833333333334,1,0.7692307692307693,1,0.8620689655172413,1,1
Nampula,CS Monapo Rio,2025Q2,1,0.864406779661017,1,0,1,1,0.25,1,0.3333333333333333
Nampula,CS Monapo Rio,2025Q3,0,0,0,0,0,0,0,0,0
Nampula,CS Monapo Rio,2025Q4,1,1,1,1,0.9,1,0.9807692307692307,1,0.9375
Nampula,CS Murrupula,2025Q1,0.9730769230769231,0.9900793650793651,0.9728260869565217,1,1,0.9722222222222222,1,1,1
Nampula,CS Murrupula,2025Q2,0.9543568464730291,0.9684542586750788,0.9219858156028369,1,0.967741935483871,0.9827586206896551,1,1,1
Nampula,CS Murrupula,2025Q3,0.968503937007874,0.9757894736842105,0.9354838709677419,0.9444444444444444,1,0.9285714285714286,0.9838709677419355,1,0.9166666666666666
Nampula,CS Murrupula,2025Q4,0.9522058823529411,0.9700332963374029,0.9065934065934066,1,0.975609756097561,0.8524590163934426,0.8653846153846154,1,0.7083333333333334
Nampula,HD Moma,2025Q1,0.9751861042183623,0.980465815176559,0.972972972972973,0.9777777777777777,1,1,0.990990990990991,1,0.9615384615384616
Nampula,HD Moma,2025Q2,0.8864864864864865,0.9597855227882037,0.8577235772357723,0.9818181818181818,0.9428571428571428,1,1,1,0.875
Nampula,HD Moma,2025Q3,0.8976982097186701,0.9236732259988074,0.9759036144578314,1,0.971830985915493,1,1,1,1
Nampula,HD Moma,2025Q4,0.8903508771929824,0.912291933418694,0.9458689458689459,1,0.8695652173913043,1,0.9516129032258065,1,0.972972972972973
Nampula,HG Marrere,2025Q1,0.9640287769784173,0.9248210023866349,0.996551724137931,1,0.9649122807017544,1,0.8387096774193549,1,1
Nampula,HG Marrere,2025Q2,0.945054945054945,0.8763020833333334,0.8912280701754386,1,1,0.808695652173913,0.8372093023255814,0.7941176470588235,0.8367346938775511
Nampula,HG Marrere,2025Q3,0.9569230769230769,0.9561883899233297,0.9710610932475884,0.9736842105263158,0.9882352941176471,1,0.8715083798882681,1,1
Nampula,HG Marrere,2025Q4,0.9503311258278145,0.9647058823529412,0.9659863945578231,1,0.9605263157894737,1,0.6527777777777778,1,1
Nampula,Hospital Psiquiatrico,2025Q1,0.9866156787762906,0.9852095316351684,0.9840848806366048,0.8333333333333334,1,1,0.9586776859504132,1,0.9322033898305084
Nampula,Hospital Psiquiatrico,2025Q2,0.9595959595959596,0.9603399433427762,0.9366666666666666,1,1,1,0.9859154929577465,0.9629629629629629,0.9642857142857143
Nampula,Hospital Psiquiatrico,2025Q3,0.9443298969072165,0.970335675253708,0.9528301886792453,1,0.989010989010989,0.9826086956521739,0.981651376146789,1.0151515151515151,1
Nampula,Hospital Psiquiatrico,2025Q4,0.975103734439834,0.9804511278195489,0.9541284403669725,1,0.9871794871794872,0.9541984732824428,0.9844961240310077,1,0.9883720930232558
Nampula,Muhala PS,2025Q1,0.9747003994673769,0.9783099864437416,0.9559902200488998,1,1,1,1,1,1
Nampula,Muhala PS,2025Q2,0.9085545722713865,0.9463806970509383,0.926208651399491,0.9473684210526315,0.9411764705882353,0.9709302325581395,0.848314606741573,0.9318181818181818,0.847457627118644
Nampula,Muhala PS,2025Q3,0.964,0.9609407811843763,0.945031712473573,0.9361702127659575,0.9739130434782609,0.9452054794520548,0.9325153374233128,0.984375,0.9594594594594594
Nampula,Muhala PS,2025Q4,0.9549071618037135,0.9628857381150959,0.934020618556701,0.9259259259259259,0.9689922480620154,0.9959349593495935,0.9736842105263158,1,0.9298245614035088
Nampula,Nacala Porto CS,2025Q1,0.9703832752613241,0.9728793998845932,0.9571428571428572,0.8648648648648649,0.92,0.9931972789115646,1,0.9473684210526315,0.9714285714285714
Nampula,Nacala Porto CS,2025Q2,0.9011235955056179,0.9078080903104422,0.8838174273858921,0.8846153846153846,0.8305084745762712,0.9777777777777777,0.984,0.7272727272727273,0.8958333333333334
Nampula,Nacala Porto CS,2025Q3,0.9655172413793104,0.9610619469026549,0.9482758620689655,1,0.8857142857142857,0.968,0.9951219512195122,0.9534883720930233,0.9696969696969697
Nampula,Nacala Porto CS,2025Q4,0.9710843373493976,0.9685893774985722,0.9057377049180327,0.9615384615384616,0.9368421052631579,1,1,0.9655172413793104,0.825
Nampula,Namapa HR,2025Q1,0.9674556213017751,0.9952734638757597,0.9801324503311258,1,0.9814814814814815,1,1,1,0.6976744186046512
Nampula,Namapa HR,2025Q2,1,0.9116465863453815,0.9795918367346939,0,0,0,0,0,0
Nampula,Namapa HR,2025Q3,0.919047619047619,0.9452054794520548,0.9822222222222222,1,0.3,1,0.6521739130434783,1,0.3333333333333333
Nampula,Namapa HR,2025Q4,0.9676258992805755,0.9927360774818402,0.9900332225913622,0.8888888888888888,0.6632653061224489,0.9452054794520548,0.9712230215827338,1,0.782608695652174
Nampula,Namialo CS,2025Q1,0.8841201716738197,0.9484126984126984,0.97265625,1,0.9886363636363636,1,0.9197080291970803,0.9444444444444444,1
Nampula,Namialo CS,2025Q2,0.9245810055865922,0.9486899563318777,0.9205020920502092,1,0.9444444444444444,0.967741935483871,0.9175257731958762,0.6486486486486487,0.9777777777777777
Nampula,Namialo CS,2025Q3,0.9510869565217391,0.9635258358662614,0.9459459459459459,0.9259259259259259,0.9830508474576272,1,0.9473684210526315,0.972972972972973,0.9795918367346939
Nampula,Namialo CS,2025Q4,0.9715189873417721,0.956989247311828,0.9795918367346939,1,0.9464285714285714,0.946236559139785,0.9481481481481482,0.9591836734693877,1
Nampula,Namicopo PS,2025Q1,0.9956331877729258,0.967266775777414,0.9513274336283186,1,0.9318181818181818,1,0.9636363636363636,1,0.9
Nampula,Namicopo PS,2025Q4,1,0.9397590361445783,1,0,1,0,0,1,1
Zambezia,16 de Junho CS I,2025Q1,0.9823008849557522,0.9801488833746899,0.9552238805970149,1,0.7857142857142857,0.9861111111111112,0.9846153846153847,1,1
Zambezia,16 de Junho CS I,2025Q2,0.94,0.9470899470899471,0.9841269841269841,1,0.84375,0.9807692307692307,0.8275862068965517,0.8,1
Zambezia,16 de Junho CS I,2025Q3,0.9622641509433962,0.6935483870967742,0.9452054794520548,1,0.9411764705882353,0.9733333333333334,0.9814814814814815,1,1
Zambezia,16 de Junho CS I,2025Q4,1,0.9797979797979798,1,1,0.7837837837837838,1,0.9615384615384616,1,0.9375
Zambezia,Licuare CS III,2025Q1,0.974025974025974,0.9736170212765958,0.9822222222222222,1,0.9696969696969697,0.9948453608247423,0.9671052631578947,1,1
Zambezia,Licuare CS III,2025Q2,0.9015544041450777,0.906,0.9371980676328503,1,0.9305555555555556,0.9888888888888889,0.8944099378881988,1,1
Zambezia,Licuare CS III,2025Q3,0.9600997506234414,0.9602888086642599,0.9641025641025641,1,0.9859154929577465,0.984375,0.9541284403669725,1,1
Zambezia,Licuare CS III,2025Q4,0.9879518072289156,0.9823529411764705,0.967032967032967,1,1,0.9885057471264368,0.9712230215827338,1,1
Zambezia,Milange CSURB,2025Q1,1,0.9822033898305085,1,1,0.927710843373494,1,0.9411764705882353,1,1
Zambezia,Milange CSURB,2025Q2,1,0.9549653579676675,0.9593023255813954,1,0.989247311827957,0.9911504424778761,1,1,1
Zambezia,Milange CSURB,2025Q3,0.996039603960396,0.988272921108742,0.9862068965517241,0.9444444444444444,1,1,1,1,1
Zambezia,Milange CSURB,2025Q4,0.9808795411089866,0.9850483729111698,1,1,0.990990990990991,1,1,1,1
Zambezia,Mocuba CSURB,2025Q1,0.9775280898876404,0.9522952295229523,0.9757575757575757,1,0.9811320754716981,0.9763779527559056,0.9575757575757575,1,1
Zambezia,Mocuba CSURB,2025Q2,0.9038461538461539,0.8666666666666667,0.8516129032258064,1,0.8518518518518519,0.9692307692307692,0.7804878048780488,0.9411764705882353,0.9444444444444444
Zambezia,Mocuba CSURB,2025Q3,0.9632352941176471,0.9795501022494888,0.9625,1,0.875,0.971830985915493,0.9215686274509803,0.9655172413793104,0.8928571428571429
Zambezia,Mocuba CSURB,2025Q4,0.9561643835616438,0.9667318982387475,0.9862068965517241,1,0.9722222222222222,1,0.9469026548672567,1,0.9333333333333333
Zambezia,Mugeba CS III,2025Q1,0.9239766081871345,0.8987108655616943,0.991869918699187,0.9166666666666666,0.7777777777777778,1,0.75,1,1
Zambezia,Mugeba CS III,2025Q2,0.8128342245989305,0.8455114822546973,0.9702970297029703,0.8333333333333334,0.7446808510638298,0.9148936170212766,0.05714285714285714,1,0.5384615384615384
Zambezia,Mugeba CS III,2025Q3,0.8636363636363636,0.9289617486338798,0.9186046511627907,1,0.4864864864864865,0.9672131147540983,0.12903225806451613,1,0.8666666666666667
Zambezia,Mugeba CS III,2025Q4,0.9074074074074074,0.9209558823529411,0.9479166666666666,1,0.6052631578947368,0.9090909090909091,0.5769230769230769,1,0.5
Zambezia,Nicoadala CS II,2025Q1,0.9903181189488244,0.9965397923875432,0.9977426636568849,1,0.9942528735632183,1,0.9940476190476191,1,1
Zambezia,Nicoadala CS II,2025Q2,0.9467162329615861,0.9666531110207401,0.967391304347826,0.9459459459459459,0.9763313609467456,0.9955947136563876,0.9076923076923077,0.9807692307692307,0.9339622641509434
Zambezia,Nicoadala CS II,2025Q3,0.9909677419354839,0.9924944812362031,0.9953596287703016,1,1,0.9878048780487805,0.9913793103448276,0.9863013698630136,0.9876543209876543
Zambezia,Nicoadala CS II,2025Q4,0.9945593035908596,0.9948006932409013,1,1,1,0.9943502824858758,0.9590909090909091,1,1
Zambezia,Pedreira HC,2025Q1,0.9198113207547169,0.8651162790697674,0.9881656804733728,1,0.9545454545454546,1,0.8555555555555555,1,1
Zambezia,Pedreira HC,2025Q2,0.898876404494382,0.8681102362204725,0.9577464788732394,0.875,0.5263157894736842,0.975,0.7872340425531915,1,0.9629629629629629
Zambezia,Pedreira HC,2025Q3,0.8826086956521739,0.873015873015873,1,1,0.625,0.9852941176470589,0.82,1,0.8
Zambezia,Pedreira HC,2025Q4,0.9504132231404959,0.8837209302325582,1,0.8181818181818182,0.48,0.9824561403508771,0.8035714285714286,1,0.391304347826087
Zambezia,Samora Machel CS,2025Q1,0.9894179894179894,0.9490291262135923,0.9705882352941176,1,0.7435897435897436,0.8867924528301887,0.6578947368421053,0.9230769230769231,1
Zambezia,Samora Machel CS,2025Q2,0.9306930693069307,0.8519480519480519,0.9508196721311475,1,0.7058823529411765,0.926829268292683,0.23636363636363636,0.75,0.8888888888888888
Zambezia,Samora Machel CS,2025Q3,0.9606299212598425,0.9464668094218416,0.9333333333333333,0.8333333333333334,0.6,0.98,0.3333333333333333,1,0.5
Zambezia,Samora Machel CS,2025Q4,0.944,0.9380165289256198,0.8787878787878788,0.8888888888888888,0.5333333333333333,0.9375,0.7317073170731707,1,0.45
